No, Arrival time, AE channel, Amplitude, Counts, Duration, Energy, Rise counts, Rise Time
     162,20:17:22:40:722:479900, 8,     78.9,     103,     2541,       0.359,       9,     68.0
     163,20:17:22:40:722:485900, 6,     74.4,     133,     2602,       0.128,       5,     49.0
     164,20:17:22:40:722:504300, 3,     69.4,     131,     2401,       0.090,       5,     34.0
     165,20:17:22:40:722:508400, 4,     57.8,      80,     1584,       0.004,      22,    205.0
     166,20:17:22:40:722:519900, 2,     61.2,     132,     2602,       0.012,      18,    218.0
     167,20:17:22:40:722:522100, 1,     64.0,     133,     2661,       0.030,      43,    561.0
     168,20:17:22:40:722:576800, 7,     56.8,      57,      735,       0.001,      11,    144.0
     169,20:17:22:41:172:457900, 5,     97.2,     103,     2954,      17.760,       2,     11.0
     170,20:17:22:41:172:479900, 8,     78.9,     110,     2540,       0.359,       9,     68.0
     171,20:17:22:41:172:485800, 6,     74.4,     131,     2602,       0.128,       5,     49.0
     172,20:17:22:41:172:504200, 3,     69.4,     133,     2401,       0.090,       5,     34.0
     173,20:17:22:41:172:508300, 4,     57.8,      82,     1585,       0.004,      21,    205.0
     174,20:17:22:41:172:519800, 2,     61.3,     130,     2603,       0.012,      18,    218.0
     175,20:17:22:41:172:522300, 1,     64.0,     117,     2660,       0.030,      39,    561.0
     176,20:17:22:41:172:576600, 7,     56.8,      57,      735,       0.001,      11,    144.0
     177,20:17:22:41:622:457800, 5,     97.1,     108,     2979,      17.761,       2,     11.0
     178,20:17:22:41:622:479800, 8,     78.9,     103,     2540,       0.359,       9,     68.0
     179,20:17:22:41:622:485800, 6,     74.4,     134,     2602,       0.128,       5,     49.0
     180,20:17:22:41:622:503900, 3,     69.4,     131,     2401,       0.090,       5,     35.0
     181,20:17:22:41:622:508200, 4,     57.8,      90,     1584,       0.004,      21,    205.0
     182,20:17:22:41:622:519900, 2,     61.3,     128,     2602,       0.012,      19,    218.0
     183,20:17:22:41:622:521600, 1,     64.0,     122,     2661,       0.030,      39,    562.0
     184,20:17:22:41:622:576600, 7,     56.7,      58,      735,       0.001,      11,    143.0
     185,20:17:22:42:072:457700, 5,     97.1,     106,     2955,      17.761,       2,     11.0
     186,20:17:22:42:072:479700, 8,     78.9,     109,     2540,       0.359,       9,     67.0
     187,20:17:22:42:072:485700, 6,     74.4,     128,     2602,       0.128,       5,     49.0
     188,20:17:22:42:072:503900, 3,     69.4,     122,     2401,       0.090,       5,     35.0
     189,20:17:22:42:072:508200, 4,     57.8,      82,     1584,       0.004,      21,    205.0
     190,20:17:22:42:072:519600, 2,     61.3,     123,     2601,       0.012,      19,    218.0
     191,20:17:22:42:072:521900, 1,     64.0,     114,     2685,       0.030,      37,    562.0
     192,20:17:22:42:072:576400, 7,     56.7,      60,      735,       0.001,      11,    143.0
     193,20:17:22:42:522:457600, 5,     97.3,     105,     2979,      17.762,       2,     11.0
     194,20:17:22:42:522:479600, 8,     78.9,     109,     2540,       0.359,       9,     67.0
     195,20:17:22:42:522:485600, 6,     74.4,     132,     2602,       0.128,       5,     49.0
     196,20:17:22:42:522:503800, 3,     69.4,     132,     2401,       0.090,       5,     35.0
     197,20:17:22:42:522:508100, 4,     57.8,      80,     1583,       0.004,      21,    205.0
     198,20:17:22:42:522:519700, 2,     61.3,     133,     2602,       0.012,      18,    218.0
     199,20:17:22:42:522:521900, 1,     64.0,     122,     2661,       0.030,      38,    562.0
     200,20:17:22:42:522:576400, 7,     56.7,      56,      734,       0.001,      11,    143.0
     201,20:17:22:43:028:821100, 6,     97.3,     104,     3010,      13.250,       2,     10.0
     202,20:17:22:43:028:844900, 8,     74.0,     130,     3105,       0.131,      34,    307.0
     203,20:17:22:43:028:849200, 5,     74.6,     143,     2601,       0.131,      12,    103.0
     204,20:17:22:43:028:857900, 3,     71.1,     148,     2513,       0.062,      10,     73.0
     205,20:17:22:43:028:858900, 4,     56.4,      86,     1810,       0.005,      17,    155.0
     206,20:17:22:43:028:871500, 2,     63.9,     122,     2285,       0.012,      15,     96.0
     207,20:17:22:43:028:912500, 7,     55.9,      73,      729,       0.002,      14,     85.0
     208,20:17:22:43:028:935400, 1,     61.8,     107,     2100,       0.027,      12,    122.0
     209,20:17:22:43:478:821100, 6,     97.5,     103,     3009,      13.261,       2,     10.0
     210,20:17:22:43:478:844800, 8,     74.0,     127,     2592,       0.131,      34,    307.0
     211,20:17:22:43:478:849000, 5,     74.6,     142,     2601,       0.131,      12,    102.0
     212,20:17:22:43:478:857900, 3,     71.1,     148,     2513,       0.062,      10,     73.0
     213,20:17:22:43:478:858900, 4,     56.3,      92,     1810,       0.005,      42,    441.0
     214,20:17:22:43:478:871400, 2,     63.9,     115,     2286,       0.012,      15,     96.0
     215,20:17:22:43:478:912400, 7,     56.0,      69,      729,       0.002,      14,     85.0
     216,20:17:22:43:478:937900, 1,     62.6,      95,     2110,       0.027,      27,    308.0
     217,20:17:22:43:928:821000, 6,     97.5,      97,     3008,      13.262,       2,     10.0
     218,20:17:22:43:928:844700, 8,     74.0,     129,     3106,       0.131,      33,    307.0
     219,20:17:22:43:928:848900, 5,     74.6,     133,     2602,       0.131,      12,    103.0
     220,20:17:22:43:928:857800, 3,     71.1,     156,     2513,       0.062,      10,     73.0
     221,20:17:22:43:928:858600, 4,     56.4,      83,     1810,       0.005,      16,    155.0
     222,20:17:22:43:928:871300, 2,     63.9,     122,     2285,       0.012,      15,     96.0
     223,20:17:22:43:928:912200, 7,     55.9,      75,      728,       0.002,      14,     85.0
     224,20:17:22:43:928:937900, 1,     62.6,      91,     2109,       0.027,      27,    308.0
     225,20:17:22:44:378:820900, 6,     97.4,      99,     2865,      13.260,       2,     11.0
     226,20:17:22:44:378:844700, 8,     74.0,     128,     2592,       0.131,      34,    307.0
     227,20:17:22:44:378:848900, 5,     74.6,     136,     2602,       0.131,      12,    103.0
     228,20:17:22:44:378:857600, 3,     71.1,     138,     2513,       0.062,      10,     73.0
     229,20:17:22:44:378:858600, 4,     56.3,      89,     1810,       0.005,      39,    441.0
     230,20:17:22:44:378:871200, 2,     63.9,     117,     2285,       0.012,      15,     96.0
     231,20:17:22:44:378:912100, 7,     55.9,      73,      729,       0.002,      14,     84.0
     232,20:17:22:44:378:935200, 1,     61.9,      99,     2345,       0.027,      12,    122.0
     233,20:17:22:44:828:820800, 6,     97.3,     103,     3009,      13.259,       2,     11.0
     234,20:17:22:44:828:844600, 8,     74.0,     127,     2592,       0.131,      34,    307.0
     235,20:17:22:44:828:848800, 5,     74.6,     140,     2601,       0.131,      12,    103.0
     236,20:17:22:44:828:857600, 3,     71.1,     147,     2513,       0.062,      10,     72.0
     237,20:17:22:44:828:858500, 4,     56.4,      90,     1810,       0.005,      40,    441.0
     238,20:17:22:44:828:871200, 2,     63.9,     126,     2285,       0.012,      16,     96.0
     239,20:17:22:44:828:912100, 7,     55.8,      74,      729,       0.002,      14,     85.0
     240,20:17:22:44:828:935000, 1,     61.8,     108,     2099,       0.027,      12,    122.0
     241,20:17:22:45:343:727900, 7,     97.3,      66,     1956,      12.905,       2,     11.0
     242,20:17:22:45:343:757500, 2,     64.6,      84,      703,       0.008,      13,     86.0
     243,20:17:22:45:343:767900, 4,     51.3,      26,      294,       0.000,      14,    143.0
     244,20:17:22:45:343:773300, 3,     56.3,      64,      706,       0.002,      20,    172.0
     245,20:17:22:45:343:777000, 1,     61.9,      81,      817,       0.005,      17,    113.0
     246,20:17:22:45:343:819400, 6,     56.1,      76,      729,       0.003,      14,     85.0
     247,20:17:22:45:343:838200, 8,     53.3,      77,      769,       0.002,      46,    388.0
     248,20:17:22:45:343:847500, 5,     55.8,      55,      769,       0.001,      10,    124.0
     249,20:17:22:45:793:727800, 7,     97.2,      67,     1954,      12.923,       2,     11.0
     250,20:17:22:45:793:757400, 2,     64.6,      84,      703,       0.008,      13,     86.0
     251,20:17:22:45:793:767800, 4,     51.1,      26,      294,       0.000,      15,    143.0
     252,20:17:22:45:793:776700, 3,     54.3,      64,      819,       0.002,       5,     42.0
     253,20:17:22:45:793:776800, 1,     62.0,      79,      818,       0.005,      17,    114.0
     254,20:17:22:45:793:819200, 6,     56.2,      77,      729,       0.003,      14,     85.0
     255,20:17:22:45:793:838200, 8,     53.2,      77,      768,       0.002,      46,    388.0
     256,20:17:22:45:793:846900, 5,     55.7,      63,      784,       0.001,      15,    125.0
     257,20:17:22:46:243:727700, 7,     97.1,      71,     1956,      12.923,       2,     11.0
     258,20:17:22:46:243:757300, 2,     64.6,      82,      703,       0.008,      13,     86.0
     259,20:17:22:46:243:767900, 4,     51.4,      27,      294,       0.000,      15,    143.0
     260,20:17:22:46:243:776800, 1,     62.0,      78,      817,       0.005,      17,    114.0
     261,20:17:22:46:243:776800, 3,     54.4,      60,      818,       0.002,       5,     42.0
     262,20:17:22:46:243:819300, 6,     56.1,      74,      729,       0.003,      14,     85.0
     263,20:17:22:46:243:838100, 8,     53.2,      77,      768,       0.002,      47,    388.0
     264,20:17:22:46:243:847100, 5,     55.7,      56,      769,       0.001,       9,    124.0
     265,20:17:22:46:693:727600, 7,     97.0,      67,     1956,      12.925,       2,     11.0
     266,20:17:22:46:693:757200, 2,     64.7,      87,      702,       0.008,      13,     85.0
     267,20:17:22:46:693:767400, 4,     51.1,      27,      294,       0.000,      15,    143.0
     268,20:17:22:46:693:772700, 3,     56.3,      60,      707,       0.002,      18,    173.0
     269,20:17:22:46:693:780700, 1,     60.3,      85,      804,       0.005,      15,    106.0
     270,20:17:22:46:693:819200, 6,     56.0,      76,      729,       0.003,      14,     85.0
     271,20:17:22:46:693:838000, 8,     53.3,      78,      768,       0.002,      46,    388.0
     272,20:17:22:46:693:846600, 5,     55.7,      58,      770,       0.001,      12,    125.0
     273,20:17:22:47:143:727500, 7,     97.0,      68,     1956,      12.926,       2,     11.0
     274,20:17:22:47:143:757100, 2,     64.6,      83,      703,       0.008,      13,     85.0
     275,20:17:22:47:143:767300, 4,     51.3,      28,      294,       0.000,      16,    143.0
     276,20:17:22:47:143:772700, 3,     56.3,      65,      707,       0.002,      20,    173.0
     277,20:17:22:47:143:780600, 1,     60.3,      85,      804,       0.005,      16,    106.0
     278,20:17:22:47:143:819000, 6,     56.1,      76,      728,       0.003,      14,     84.0
     279,20:17:22:47:143:837800, 8,     53.3,      78,      769,       0.002,      46,    389.0
     280,20:17:22:47:143:846800, 5,     55.7,      58,      769,       0.001,      11,    125.0
     281,20:17:22:47:658:361500, 8,     97.4,     141,     3197,      12.028,       2,     10.0
     282,20:17:22:47:658:383600, 5,     79.3,     103,     2539,       0.339,       9,     67.0
     283,20:17:22:47:658:385200, 6,     74.1,     123,     2591,       0.129,      36,    306.0
     284,20:17:22:47:658:407800, 3,     69.6,     150,     2790,       0.065,      26,    292.0
     285,20:17:22:47:658:408300, 4,     59.7,      90,     1575,       0.010,      19,    236.0
     286,20:17:22:47:658:421800, 1,     62.9,     139,     2456,       0.017,      35,    433.0
     287,20:17:22:47:658:438900, 2,     63.3,     136,     2455,       0.016,      28,    323.0
     288,20:17:22:47:658:471700, 7,     53.5,      78,      769,       0.002,      40,    297.0
     289,20:17:22:48:108:361400, 8,     97.4,     141,     3197,      12.045,       2,     10.0
     290,20:17:22:48:108:383500, 5,     79.3,     113,     2539,       0.339,       9,     67.0
     291,20:17:22:48:108:385300, 6,     74.1,     122,     2591,       0.129,      36,    306.0
     292,20:17:22:48:108:407600, 3,     69.6,     151,     2790,       0.065,      26,    292.0
     293,20:17:22:48:108:408400, 4,     59.7,      84,     1576,       0.010,      16,    235.0
     294,20:17:22:48:108:424700, 1,     62.3,     118,     2440,       0.017,      29,    360.0
     295,20:17:22:48:108:439700, 2,     63.3,     127,     2454,       0.016,      28,    322.0
     296,20:17:22:48:108:471700, 7,     53.5,      76,      769,       0.002,      40,    297.0
     297,20:17:22:48:558:361300, 8,     97.3,     136,     3197,      12.043,       2,     10.0
     298,20:17:22:48:558:383400, 5,     79.3,     107,     2539,       0.339,       9,     67.0
     299,20:17:22:48:558:385200, 6,     74.1,     128,     2591,       0.129,      36,    306.0
     300,20:17:22:48:558:407600, 3,     69.6,     151,     2789,       0.065,      26,    292.0
     301,20:17:22:48:558:408100, 4,     59.6,      86,     1574,       0.010,      18,    235.0
     302,20:17:22:48:558:421700, 1,     62.9,     132,     2455,       0.017,      32,    432.0
     303,20:17:22:48:558:439300, 2,     63.3,     118,     2453,       0.016,      27,    322.0
     304,20:17:22:48:558:471600, 7,     53.6,      77,      769,       0.002,      40,    297.0
     305,20:17:22:49:008:361200, 8,     97.2,     137,     3197,      12.041,       2,     10.0
     306,20:17:22:49:008:383300, 5,     79.3,     106,     2539,       0.339,       9,     67.0
     307,20:17:22:49:008:385200, 6,     74.1,     132,     2590,       0.129,      36,    306.0
     308,20:17:22:49:008:407400, 3,     69.6,     154,     2790,       0.065,      26,    292.0
     309,20:17:22:49:008:407800, 4,     59.7,      82,     1577,       0.010,      16,    236.0
     310,20:17:22:49:008:421500, 1,     62.9,     136,     2455,       0.017,      32,    432.0
     311,20:17:22:49:008:439600, 2,     63.3,     128,     2453,       0.016,      28,    322.0
     312,20:17:22:49:008:471600, 7,     53.6,      78,      768,       0.002,      41,    297.0
     313,20:17:22:49:458:361100, 8,     97.2,     136,     3197,      12.041,       2,     10.0
     314,20:17:22:49:458:383200, 5,     79.3,     113,     2539,       0.339,       9,     67.0
     315,20:17:22:49:458:385000, 6,     74.1,     126,     2590,       0.129,      36,    306.0
     316,20:17:22:49:458:407400, 3,     69.6,     158,     2790,       0.065,      27,    292.0
     317,20:17:22:49:458:407400, 4,     59.7,      87,     1576,       0.010,      19,    236.0
     318,20:17:22:49:458:421500, 1,     62.9,     133,     2455,       0.017,      33,    432.0
     319,20:17:22:49:458:439000, 2,     63.3,     131,     2454,       0.016,      29,    322.0
     320,20:17:22:49:458:471500, 7,     53.6,      76,      768,       0.002,      40,    296.0
